"age","campaign_interest","vote_primary","vote_pres","right_track","ideology","govt_corrupt"
39,1,8,-1,1,6,3
73,2,1,-1,2,4,2
43,2,-1,-1,2,99,3
28,1,9,-1,2,6,3
70,1,2,-1,2,3,4
72,2,6,-1,2,2,3
59,2,-1,-1,2,3,3
35,2,-1,-1,2,99,3
26,3,8,-1,2,7,2
80,1,1,-1,2,4,4
76,1,4,-1,2,4,4
31,2,6,1,2,99,3
24,2,-1,-1,2,4,3
53,1,4,-1,2,2,4
55,1,1,-1,2,4,3
39,1,1,-1,2,1,4
32,2,-1,-1,2,99,3
80,3,-1,-1,1,99,2
45,3,-1,-1,2,99,1
40,2,8,-1,1,7,4
64,1,-1,-1,2,99,1
40,1,1,-1,2,3,2
52,1,2,-1,2,3,3
67,1,1,-1,2,2,3
72,1,1,-1,2,3,4
-9,2,-1,-1,2,7,4
79,1,8,2,2,99,3
67,1,1,-1,2,3,4
24,1,5,-1,2,3,4
43,3,-1,-1,2,1,3
52,1,1,-1,2,6,4
-9,1,-1,-1,1,7,3
62,1,-1,1,2,2,4
50,3,-1,-1,2,6,4
28,2,-1,-1,1,99,3
62,1,8,-1,1,6,4
73,1,8,-1,2,6,3
33,2,-1,-1,1,6,3
42,1,1,1,2,3,3
36,2,3,-1,2,2,3
41,3,-1,-1,2,5,4
51,1,-1,-1,2,99,3
30,3,-1,-1,2,4,2
-9,1,1,-1,2,99,3
48,3,8,-1,1,7,3
66,3,-1,-1,2,5,2
80,3,-1,-1,2,7,2
49,2,8,-1,2,5,4
30,2,8,-1,1,6,3
70,1,1,-1,2,3,4
65,1,-1,1,2,2,4
57,1,1,-1,2,4,3
71,1,-1,-1,2,2,4
31,1,5,-1,2,2,2
40,1,1,-1,2,99,2
66,1,8,-1,1,99,3
45,2,-1,1,2,99,3
68,1,8,-1,1,4,4
76,1,1,-1,2,99,3
80,1,8,-1,1,99,4
34,1,-1,-1,2,6,2
44,2,8,-1,1,6,2
70,1,1,-1,2,4,3
-9,3,10,-1,2,3,4
71,2,8,-1,2,6,2
37,2,1,-1,2,99,2
31,2,-1,-1,1,6,2
61,1,-1,-1,2,5,2
43,1,5,-1,1,7,1
53,1,-1,-1,2,4,4
73,2,1,-1,2,4,2
38,1,8,-1,1,7,3
73,2,-1,-1,2,2,2
31,3,-1,-1,2,99,2
69,1,-1,-1,2,6,2
-9,2,-1,-1,2,5,3
45,2,-1,-1,2,5,4
41,1,-9,-1,2,99,4
66,1,8,-1,2,6,2
41,1,-1,-1,1,1,3
62,1,-1,-1,2,99,4
31,1,8,-1,2,4,1
80,1,-1,-1,2,6,2
46,1,8,-1,1,7,4
70,1,8,-1,2,7,4
21,2,-1,-1,2,4,3
77,1,8,-1,1,6,2
66,1,8,2,1,6,3
33,3,10,-1,1,99,3
46,1,1,-1,2,2,4
36,3,-1,-1,2,99,1
68,2,-1,-1,1,99,-9
71,1,-1,-1,2,99,5
37,2,-1,-1,2,4,3
